Polar Representation Log
n=10, generations=200, population=200
crossover_prob=0.8, mutation_prob=0.1, indpb=0.2, seed=42
================================================================================

Gen 34: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 35: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 36: [(-0.546948,-0.108518), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 37: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 38: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 39: [(-0.819332,0.093855), (0.168949,0.983783), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 40: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 41: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 42: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 43: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
