Boundary Representation Log
n=25, generations=200, population=200
crossover_prob=0.8, mutation_prob=0.2, indpb=0.2, seed=12369
================================================================================

Gen 20: [(-0.999202,0.039954), (0.654870,-0.755742), (-0.323849,-0.946109), (0.938645,-0.344885), (-0.950265,-0.311442), (0.652044,0.758181), (0.520325,0.853969), (0.796334,-0.604857), (-0.141024,0.990006), (0.699370,-0.714760), (0.965200,0.261513), (0.999910,0.013445), (0.208016,0.978125), (0.181250,-0.983437), (-0.657652,0.753321), (0.271175,-0.962530), (0.790362,0.612640), (-0.203354,0.979105), (-0.932273,0.361757), (0.399253,-0.916841), (-0.418068,0.908416), (0.883357,-0.468701), (-0.549660,-0.835389), (0.747382,0.664395), (0.970290,-0.241945)]
Gen 21: [(0.152005,0.988380), (-0.973538,0.228527), (0.562889,-0.826532), (0.938645,-0.344885), (0.616195,0.787593), (-0.988756,-0.149536), (0.324334,-0.945943), (-0.998906,-0.046760), (0.899058,-0.437829), (0.973780,-0.227493), (0.920834,0.389956), (0.999910,0.013445), (0.208016,0.978125), (-0.475905,0.879497), (-0.657652,0.753321), (0.499945,-0.866057), (0.760465,-0.649379), (-0.203354,0.979105), (-0.855689,-0.517491), (0.721087,0.692845), (0.760521,0.649314), (-0.731634,-0.681697), (-0.436746,-0.899585), (-0.972994,-0.230830), (0.414478,0.910059)]
Gen 22: [(-0.404729,-0.914437), (0.654870,-0.755742), (0.015055,0.999887), (0.938645,-0.344885), (0.616195,0.787593), (-0.656639,-0.754205), (0.992683,-0.120754), (-0.999935,-0.011432), (0.993685,0.112204), (0.564449,-0.825468), (0.719378,0.694619), (-0.076191,0.997093), (0.939395,0.342837), (0.999920,0.012624), (-0.916910,-0.399095), (-0.992178,-0.124830), (0.560067,0.828447), (-0.989163,0.146818), (0.120693,0.992690), (0.330300,-0.943876), (-0.864881,0.501976), (-0.850820,-0.525457), (-0.547563,-0.836765), (-0.972994,-0.230830), (0.414478,0.910059)]
Gen 23: [(0.185135,0.982713), (-0.877736,0.479145), (-0.667747,-0.744389), (0.097229,0.995262), (0.616195,0.787593), (-0.305085,-0.952325), (0.324334,-0.945943), (0.901174,0.433459), (0.899058,-0.437829), (0.699370,-0.714760), (-0.365264,-0.930904), (-0.621417,0.783480), (0.974830,0.222950), (0.181250,-0.983437), (-0.979095,-0.203404), (-0.773893,0.633316), (0.760465,-0.649379), (-0.576164,-0.817334), (0.964356,-0.264606), (0.399253,-0.916841), (-0.418068,0.908416), (0.997764,0.066830), (0.297176,0.954823), (0.747382,0.664395), (0.549446,0.835529)]
Gen 24: [(-0.209040,-0.977907), (0.976821,0.214057), (0.015055,0.999887), (0.938645,-0.344885), (-0.950265,-0.311442), (-0.988756,-0.149536), (-0.113976,0.993483), (-0.998906,-0.046760), (0.993685,0.112204), (0.975771,-0.218796), (0.920834,0.389956), (0.854998,0.518631), (0.208016,0.978125), (0.181250,-0.983437), (-0.657652,0.753321), (0.499945,-0.866057), (0.760465,-0.649379), (-0.203354,0.979105), (-0.855689,-0.517491), (0.330300,-0.943876), (-0.794120,-0.607761), (0.952766,0.303704), (0.520532,0.853842), (-0.972994,-0.230830), (0.789691,0.613504)]
Gen 25: [(-0.404729,-0.914437), (-0.973538,0.228527), (-0.274062,0.961712), (0.986849,0.161643), (0.616195,0.787593), (-0.706391,-0.707822), (0.825413,0.564529), (-0.998906,-0.046760), (0.323429,-0.946253), (0.973780,-0.227493), (0.965200,0.261513), (-0.853142,0.521678), (0.208016,0.978125), (-0.475905,0.879497), (-0.657652,0.753321), (0.499945,-0.866057), (-0.990270,0.139162), (-0.480759,-0.876853), (0.120693,0.992690), (-0.937027,-0.349256), (0.711139,0.703052), (-0.169510,-0.985528), (-0.549660,-0.835389), (-0.972994,-0.230830), (0.414478,0.910059)]
Gen 26: [(0.892083,0.451872), (-0.973538,0.228527), (0.562889,-0.826532), (0.097229,0.995262), (0.616195,0.787593), (-0.988756,-0.149536), (0.992683,-0.120754), (-0.998906,-0.046760), (0.323429,-0.946253), (0.973780,-0.227493), (-0.365264,-0.930904), (0.854998,0.518631), (0.939395,0.342837), (-0.475905,0.879497), (-0.657652,0.753321), (0.499945,-0.866057), (0.760465,-0.649379), (-0.203354,0.979105), (0.832479,-0.554057), (-0.937027,-0.349256), (0.760521,0.649314), (-0.850820,-0.525457), (0.297176,0.954823), (-0.972994,-0.230830), (0.414478,0.910059)]
Gen 27: [(-0.209040,-0.977907), (0.034188,-0.999415), (0.670432,-0.741971), (0.097229,0.995262), (0.616195,0.787593), (-0.988756,-0.149536), (0.324334,-0.945943), (-0.999935,-0.011432), (0.899058,-0.437829), (0.973780,-0.227493), (0.920834,0.389956), (-0.076191,0.997093), (0.208016,0.978125), (-0.475905,0.879497), (-0.916910,-0.399095), (0.869778,0.493443), (0.836330,-0.548226), (-0.203354,0.979105), (0.331332,0.943514), (0.721087,0.692845), (-0.864881,0.501976), (-0.731634,-0.681697), (-0.547563,-0.836765), (-0.972994,-0.230830), (0.414478,0.910059)]
Gen 28: [(0.162489,0.986710), (-0.973538,0.228527), (0.562889,-0.826532), (0.938645,-0.344885), (0.616195,0.787593), (-0.988756,-0.149536), (0.992683,-0.120754), (-0.998906,-0.046760), (0.323429,-0.946253), (0.973780,-0.227493), (-0.365264,-0.930904), (0.999910,0.013445), (0.939395,0.342837), (-0.475905,0.879497), (-0.657652,0.753321), (0.869778,0.493443), (0.760465,-0.649379), (-0.203354,0.979105), (0.832479,-0.554057), (-0.937027,-0.349256), (-0.578157,-0.815925), (-0.850820,-0.525457), (0.297176,0.954823), (-0.972994,-0.230830), (0.414478,0.910059)]
Gen 29: [(0.152005,0.988380), (-0.973538,0.228527), (-0.667747,-0.744389), (0.938645,-0.344885), (0.616195,0.787593), (0.245931,0.969287), (0.520325,0.853969), (-0.998906,-0.046760), (0.993685,0.112204), (0.973780,-0.227493), (0.920834,0.389956), (0.854998,0.518631), (0.039854,-0.999206), (0.999920,0.012624), (-0.753834,-0.657065), (0.499945,-0.866057), (0.760465,-0.649379), (0.884502,-0.466537), (0.832479,-0.554057), (-0.994876,0.101102), (-0.418068,0.908416), (-0.079777,-0.996813), (-0.436746,-0.899585), (0.747382,0.664395), (0.414478,0.910059)]
